modelo,cv_mae_media,cv_mae_std
xgboost,50.976241615748776,46.02072070024286
random_forest,25.59480634183761,32.16503021928452
gradient_boosting,19.12281674436565,22.949737389237026
xgboost,50.976241615748776,46.02072070024286
random_forest,25.59480634183761,32.16503021928452
gradient_boosting,19.36769180699239,22.927267752525328
xgboost,50.976241615748776,46.02072070024286
random_forest,25.594806341837607,32.16503021928452
gradient_boosting,19.92074127447541,24.68903704697183
xgboost,50.976241615748776,46.02072070024286
random_forest,25.59480634183761,32.16503021928452
gradient_boosting,18.92075384618401,22.184578224931748
